customer_id,first_name,last_name,state
1,Vikram,Williams,Rajasthan
2,Riya,Joshi,Odisha
3,Pooja,Chopra,Tamil Nadu
4,Michael,Sharma,West Bengal
5,Vikram,Agarwal,Goa
6,Anil,Patel,Assam
7,Shreya,Saxena,Haryana
8,Suresh,Patel,Telangana
9,Joseph,Davis,Karnataka
10,Anika,Sharma,Bihar
11,Vihaan,Patel,Uttarakhand
12,Chris,Reddy,West Bengal
13,John,Rao,Rajasthan
14,Riya,Smith,Madhya Pradesh
15,Pooja,Sharma,Uttar Pradesh
16,Priya,Taylor,Delhi
17,John,Patel,Goa
18,Patricia,Sharma,West Bengal
19,Kavya,Tiwari,Kerala
20,David,Williams,Telangana
21,Deepak,Anderson,Bihar
22,Elizabeth,Joshi,Odisha
23,Kavya,Reddy,Odisha
24,Meera,Johnson,Jharkhand
25,Jennifer,Tiwari,Bihar
26,Shreya,Singh,Uttar Pradesh
27,Pooja,Johnson,Haryana
28,Anjali,Smith,Goa
29,Nikita,Iyer,Kerala
30,Michael,Singh,Assam
31,Arjun,Mehta,Telangana
32,James,Mehta,Telangana
33,Kavya,Smith,Kerala
34,Saanvi,Kumar,Jharkhand
35,Thomas,Rao,Maharashtra
36,Patricia,Wilson,Goa
37,Sanjay,Johnson,Punjab
38,Michael,Kumar,Uttar Pradesh
39,John,Agarwal,Kerala
40,Kavya,Taylor,Madhya Pradesh
41,Sanjay,Chopra,Maharashtra
42,Shreya,Williams,Uttarakhand
43,Jennifer,Reddy,Punjab
44,Richard,Williams,West Bengal
45,Michael,Saxena,Assam
46,Karen,Johnson,Haryana
47,Pooja,Iyer,Gujarat
48,Linda,Johnson,Chhattisgarh
49,Diya,Iyer,Tamil Nadu
50,Priya,Kumar,Telangana
51,Richard,Miller,Chhattisgarh
52,Thomas,Taylor,Gujarat
53,Michael,Anderson,Punjab
54,John,Gupta,West Bengal
55,Suresh,Rao,Kerala
56,Manoj,Miller,Punjab
57,Vikram,Nair,Uttarakhand
58,Anika,Kapoor,Tamil Nadu
59,Priya,Verma,Uttarakhand
60,Shreya,Tiwari,Karnataka
61,Priya,Anderson,Rajasthan
62,Pooja,Singh,Bihar
63,Sneha,Iyer,Madhya Pradesh
64,Vihaan,Wilson,Delhi
65,Ishaan,Reddy,Punjab
66,Manoj,Mishra,Odisha
67,Rohan,Mehta,Gujarat
68,Chris,Gupta,Assam
69,Amit,Smith,Gujarat
70,Rahul,Smith,Maharashtra
71,Aarav,Kapoor,Telangana
72,Aadhya,Jones,Gujarat
73,Divya,Jones,Gujarat
74,Neha,Miller,Karnataka
75,Ishaan,Tiwari,Madhya Pradesh
76,James,Malhotra,Bihar
77,Deepak,Agarwal,Bihar
78,Aarav,Verma,Chhattisgarh
79,Saanvi,Brown,Haryana
80,Aarav,Anderson,Punjab
81,Thomas,Davis,Jharkhand
82,Saanvi,Sharma,Uttar Pradesh
83,James,Brown,West Bengal
84,Myra,Williams,Haryana
85,Meera,Kumar,Tamil Nadu
86,Rajesh,Bansal,Uttarakhand
87,Meera,Patel,Karnataka
88,Jennifer,Verma,Kerala
89,Anika,Kapoor,Jharkhand
90,Nikita,Bansal,Punjab
91,Deepak,Anderson,Delhi
92,Amit,Anderson,Assam
93,Suresh,Jones,Rajasthan
94,Ananya,Taylor,Bihar
95,Vivaan,Rao,West Bengal
96,Richard,Kumar,Rajasthan
97,Richard,Sharma,Uttarakhand
98,Pooja,Patel,Tamil Nadu
99,Vikram,Williams,Maharashtra
100,Rajesh,Anderson,Telangana
101,Chris,Saxena,Goa
102,Vihaan,Tiwari,Maharashtra
103,Robert,Singh,Uttar Pradesh
104,Vihaan,Williams,Tamil Nadu
105,Manoj,Kapoor,Bihar
106,Krishna,Saxena,Telangana
107,Priya,Williams,Delhi
108,Aadhya,Williams,Uttar Pradesh
109,Meera,Malhotra,Tamil Nadu
110,Robert,Bansal,Telangana
111,Swati,Tiwari,Delhi
112,Manoj,Davis,Tamil Nadu
113,Pooja,Brown,Goa
114,Krishna,Iyer,Tamil Nadu
115,Mary,Singh,Assam
116,Saanvi,Tiwari,Rajasthan
117,Chris,Nair,Jharkhand
118,Saanvi,Joshi,Madhya Pradesh
119,Anika,Patel,Maharashtra
120,Anjali,Agarwal,Rajasthan
121,William,Taylor,Assam
122,Amit,Rao,Uttar Pradesh
123,Aarav,Johnson,Karnataka
124,Karen,Singh,Uttarakhand
125,Robert,Agarwal,Delhi
126,Sai,Jones,Jharkhand
127,Arjun,Brown,Tamil Nadu
128,Sarah,Nair,West Bengal
129,Ravi,Iyer,Telangana
130,Ravi,Verma,Tamil Nadu
131,Jennifer,Patel,Maharashtra
132,Elizabeth,Iyer,Haryana
133,Patricia,Johnson,Punjab
134,Deepak,Brown,Tamil Nadu
135,Reyansh,Wilson,Maharashtra
136,Aarav,Wilson,Delhi
137,Robert,Smith,Gujarat
138,Amit,Joshi,Odisha
139,Swati,Nair,Karnataka
140,Vikram,Davis,Punjab
141,Diya,Singh,Bihar
142,Sanjay,Kapoor,Telangana
143,Linda,Chopra,Assam
144,Patricia,Malhotra,Gujarat
145,Krishna,Kumar,Maharashtra
146,Elizabeth,Patel,Tamil Nadu
147,Manoj,Taylor,Uttarakhand
148,Priya,Miller,Uttarakhand
149,Michael,Kapoor,Gujarat
150,Swati,Chopra,Haryana
151,Swati,Sharma,Delhi
152,Priya,Taylor,Assam
153,Krishna,Anderson,Madhya Pradesh
154,Anil,Verma,Karnataka
155,Kavya,Smith,Punjab
156,Aarav,Williams,Jharkhand
157,Chris,Brown,Uttarakhand
158,Richard,Mishra,West Bengal
159,Robert,Wilson,Punjab
160,Sneha,Bansal,Goa
161,Reyansh,Malhotra,West Bengal
162,Priya,Joshi,Bihar
163,Rohan,Davis,Chhattisgarh
164,Sarah,Tiwari,Maharashtra
165,Aarav,Smith,Gujarat
166,Pooja,Wilson,Assam
167,Elizabeth,Agarwal,Gujarat
168,Arjun,Jones,Assam
169,Rahul,Rao,Punjab
170,Riya,Verma,Jharkhand
171,Myra,Saxena,Bihar
172,Sanjay,Davis,West Bengal
173,Sai,Kapoor,Odisha
174,Patricia,Mishra,Odisha
175,Sai,Wilson,Assam
176,Anil,Mehta,Tamil Nadu
177,Neha,Brown,Uttar Pradesh
178,Reyansh,Chopra,Madhya Pradesh
179,Aditya,Saxena,Chhattisgarh
180,Aarav,Davis,Karnataka
181,Mary,Tiwari,Goa
182,James,Iyer,Jharkhand
183,Anjali,Reddy,Odisha
184,Amit,Joshi,Maharashtra
185,Jennifer,Rao,Odisha
186,Amit,Saxena,Goa
187,Nikita,Agarwal,Haryana
188,David,Kapoor,Tamil Nadu
189,Reyansh,Jones,West Bengal
190,Aarav,Mehta,Haryana
191,Linda,Smith,Kerala
192,Anjali,Bansal,Haryana
193,William,Singh,Maharashtra
194,Sarah,Patel,Assam
195,Ishaan,Davis,Madhya Pradesh
196,Reyansh,Nair,Goa
197,Saanvi,Reddy,Tamil Nadu
198,Emily,Wilson,Bihar
199,Aadhya,Kapoor,Rajasthan
200,David,Mehta,Tamil Nadu
201,Thomas,Malhotra,Maharashtra
202,Emily,Smith,Uttarakhand
203,Krishna,Jones,Odisha
204,Ravi,Johnson,Uttarakhand
205,Pooja,Kumar,Assam
206,Aarav,Bansal,Maharashtra
207,Anjali,Taylor,Madhya Pradesh
208,Linda,Mishra,Assam
209,Emily,Bansal,Gujarat
210,William,Mishra,Gujarat
211,Richard,Davis,Delhi
212,Reyansh,Chopra,Goa
213,Nikita,Anderson,Punjab
214,Pooja,Anderson,Bihar
215,Manoj,Tiwari,West Bengal
216,Riya,Chopra,Punjab
217,Anika,Kapoor,Delhi
218,Ishaan,Malhotra,Goa
219,William,Anderson,Jharkhand
220,Meera,Davis,Chhattisgarh
221,Susan,Mehta,Chhattisgarh
222,James,Reddy,Rajasthan
223,Aadhya,Tiwari,Kerala
224,Michael,Joshi,Delhi
225,David,Smith,Gujarat
226,Pooja,Saxena,Punjab
227,David,Singh,Haryana
228,Anjali,Agarwal,Uttarakhand
229,Divya,Johnson,Madhya Pradesh
230,Michael,Brown,Chhattisgarh
231,Anika,Anderson,Madhya Pradesh
232,Patricia,Sharma,Jharkhand
233,Reyansh,Sharma,Bihar
234,Rohan,Verma,Maharashtra
235,Saanvi,Nair,Gujarat
236,Anika,Johnson,Telangana
237,Rohan,Davis,Maharashtra
238,William,Miller,Kerala
239,Aadhya,Jones,Chhattisgarh
240,Aditya,Joshi,Odisha
241,Reyansh,Tiwari,Chhattisgarh
242,Susan,Rao,Chhattisgarh
243,Rajesh,Rao,Jharkhand
244,Mary,Miller,Kerala
245,William,Johnson,Maharashtra
246,Emily,Chopra,Bihar
247,Manoj,Miller,Punjab
248,Anjali,Verma,Uttar Pradesh
249,Joseph,Nair,Rajasthan
250,Swati,Wilson,Odisha
251,Linda,Rao,Haryana
252,Thomas,Mishra,Chhattisgarh
253,Joseph,Tiwari,Rajasthan
254,Chris,Brown,Rajasthan
255,Anika,Kapoor,Gujarat
256,Michael,Gupta,Gujarat
257,Diya,Brown,Jharkhand
258,Krishna,Chopra,Maharashtra
259,Deepak,Nair,Chhattisgarh
260,Kavya,Kumar,Gujarat
261,Shreya,Wilson,Telangana
262,Aarav,Mehta,Odisha
263,David,Taylor,Delhi
264,Aditya,Kumar,Punjab
265,Nikita,Verma,Goa
266,Linda,Johnson,Kerala
267,Neha,Miller,Uttarakhand
268,Anjali,Joshi,Karnataka
269,Mary,Williams,Punjab
270,Sneha,Rao,Gujarat
271,Sneha,Gupta,Jharkhand
272,Ananya,Malhotra,Chhattisgarh
273,Kiran,Chopra,Karnataka
274,Suresh,Rao,Rajasthan
275,Robert,Mehta,Punjab
276,Vikram,Iyer,Rajasthan
277,Thomas,Tiwari,Jharkhand
278,Priya,Saxena,Uttar Pradesh
279,Krishna,Johnson,Haryana
280,Anil,Rao,Goa
281,Karen,Tiwari,West Bengal
282,Aditya,Johnson,Punjab
283,Rajesh,Taylor,Tamil Nadu
284,Rajesh,Nair,Chhattisgarh
285,Richard,Iyer,Uttar Pradesh
286,Karen,Bansal,Haryana
287,Pooja,Miller,Jharkhand
288,Anil,Agarwal,Maharashtra
289,Anika,Anderson,Rajasthan
290,Rahul,Bansal,Karnataka
291,Reyansh,Patel,Chhattisgarh
292,Kiran,Sharma,Karnataka
293,Aadhya,Johnson,Rajasthan
294,Susan,Johnson,Madhya Pradesh
295,Linda,Singh,Rajasthan
296,Kiran,Davis,Madhya Pradesh
297,John,Davis,Karnataka
298,Joseph,Johnson,Delhi
299,Vivaan,Kapoor,Punjab
300,Aditya,Gupta,Karnataka
301,Vihaan,Patel,Telangana
302,Anjali,Gupta,Uttarakhand
303,Jennifer,Rao,Telangana
304,Manoj,Chopra,Odisha
305,James,Chopra,Madhya Pradesh
306,Rahul,Sharma,Bihar
307,Michael,Singh,Chhattisgarh
308,Aarav,Smith,Goa
309,Arjun,Jones,Uttarakhand
310,Aditya,Williams,Karnataka
311,Suresh,Taylor,Jharkhand
312,Reyansh,Iyer,Kerala
313,Nikita,Gupta,Kerala
314,Thomas,Taylor,Odisha
315,Rajesh,Chopra,Uttar Pradesh
316,Priya,Patel,Chhattisgarh
317,Myra,Kumar,Bihar
318,Mary,Miller,Chhattisgarh
319,Anika,Smith,Delhi
320,Meera,Johnson,Haryana
321,Aarav,Saxena,Chhattisgarh
322,Rohan,Singh,Maharashtra
323,Aarav,Mishra,Goa
324,Sanjay,Saxena,Chhattisgarh
325,Sai,Iyer,Rajasthan
326,Joseph,Brown,Haryana
327,Aadhya,Malhotra,Jharkhand
328,Rohan,Patel,Gujarat
329,Myra,Tiwari,Telangana
330,Saanvi,Singh,Gujarat
331,Robert,Miller,Uttarakhand
332,Elizabeth,Verma,Chhattisgarh
333,Ravi,Smith,Chhattisgarh
334,Arjun,Iyer,Karnataka
335,Kavya,Singh,Rajasthan
336,Richard,Mishra,Assam
337,Amit,Joshi,Delhi
338,Robert,Smith,West Bengal
339,Reyansh,Iyer,Goa
340,Arjun,Anderson,Rajasthan
341,Rahul,Agarwal,Odisha
342,Amit,Tiwari,Kerala
343,William,Mishra,Delhi
344,Divya,Mishra,Haryana
345,Patricia,Mehta,Madhya Pradesh
346,Ananya,Sharma,Punjab
347,Isha,Miller,West Bengal
348,David,Brown,Madhya Pradesh
349,Riya,Davis,Haryana
350,Ishaan,Johnson,Punjab
351,Jessica,Agarwal,Odisha
352,Anil,Joshi,Kerala
353,Neha,Saxena,Tamil Nadu
354,Diya,Smith,Goa
355,Sai,Davis,Telangana
356,Elizabeth,Davis,Delhi
357,Sarah,Saxena,Rajasthan
358,Kavya,Brown,Karnataka
359,Richard,Gupta,Uttar Pradesh
360,Elizabeth,Bansal,Uttar Pradesh
361,Jennifer,Mishra,Uttarakhand
362,Sanjay,Jones,Uttarakhand
363,Aadhya,Taylor,Maharashtra
364,Anjali,Nair,Chhattisgarh
365,Sarah,Saxena,Assam
366,John,Jones,Delhi
367,Vikram,Chopra,West Bengal
368,Sarah,Jones,Uttarakhand
369,Richard,Wilson,Kerala
370,Ishaan,Kapoor,Jharkhand
371,Pooja,Gupta,Bihar
372,Vikram,Bansal,Uttar Pradesh
373,Robert,Rao,Goa
374,Michael,Patel,Jharkhand
375,Ishaan,Kapoor,Gujarat
376,Diya,Mishra,Uttarakhand
377,Robert,Wilson,Delhi
378,Joseph,Brown,Assam
379,Suresh,Verma,West Bengal
380,Thomas,Agarwal,West Bengal
381,Arjun,Nair,Haryana
382,Myra,Verma,Rajasthan
383,Sneha,Taylor,Haryana
384,Rajesh,Agarwal,Odisha
385,Jessica,Verma,Maharashtra
386,John,Mehta,Tamil Nadu
387,David,Bansal,Telangana
388,Linda,Brown,Telangana
389,Shreya,Saxena,Uttarakhand
390,Diya,Chopra,Bihar
391,Vikram,Mishra,Karnataka
392,Sneha,Nair,Bihar
393,Karen,Rao,Jharkhand
394,Sanjay,Joshi,Haryana
395,Neha,Miller,Assam
